station_number,station_name,station_short_name,station_type,cdec_id,site_code,latitude,longitude,lldatum,positional_accuracy,County
21N03W01R003M,GLE_01R003M screen interval 590 to 1310 bgs,Screen: 590-1310 ft,Groundwater,,396963N1221405W001,39.696348,-122.140542,NAD83,Unknown,Glenn
22N03W01R003M,GLE_01R003M screen interval 60 to 70 bgs,Screen: 60-70 ft,Groundwater,,397866N1221455W003,39.78662,-122.145489,NAD83,Unknown,Glenn
18N01W02E001M,GLE_02E001M screen interval 719 to 729 bgs,Screen: 719-729 ft,Groundwater,,394419N1219433W001,39.4419,-121.9433,NAD83,Unknown,Glenn
18N01W02E002M,GLE_02E002M screen interval 450 to 460 bgs,Screen: 450-460 ft,Groundwater,,394419N1219433W002,39.4419,-121.9433,NAD83,Unknown,Glenn
18N01W02E003M,GLE_02E003M screen interval 110 to 120 bgs,Screen: 110-120 ft,Groundwater,,394419N1219433W003,39.4419,-121.9433,NAD83,Unknown,Glenn
22N02W02J001M,GLE_02J001M screen interval 800 to 1300 bgs,Screen: 800-1300 ft,Groundwater,,397875N1220494W001,39.787447,-122.049408,NAD83,Unknown,Glenn
21N02W04G002M,GLE_04G002M screen interval 928 to 938 bgs,Screen: 928-938 ft,Groundwater,,397033N1220910W001,39.703325,-122.091003,NAD83,Unknown,Glenn
21N02W04G003M,GLE_04G003M screen interval 673 to 703 bgs,Screen: 673-703 ft,Groundwater,,397033N1220910W002,39.703325,-122.091003,NAD83,Unknown,Glenn
21N02W04G004M,GLE_04G004M screen interval 269 to 279 bgs,Screen: 269-279 ft,Groundwater,,397033N1220910W003,39.703325,-122.091003,NAD83,Unknown,Glenn
21N02W04G005M,GLE_04G005M screen interval 57 to 67 bgs,Screen: 57-67 ft,Groundwater,,397033N1220910W004,39.703325,-122.091003,NAD83,Unknown,Glenn
21N01W05D001M,GLE_05D001M screen interval 783 to 1227 bgs,Screen: 783-1227 ft,Groundwater,,397100N1220081W001,39.709957,-122.008121,WGS84,"GPS, 10m",Glenn
21N02W05M001M,GLE_05M001M screen interval 442 to 452 bgs,Screen: 442-452 ft,Groundwater,,397008N1221208W001,39.700787,-122.120764,NAD83,Unknown,Glenn
21N02W05M002M,GLE_05M002M screen interval 122 to 132 bgs,Screen: 122-132 ft,Groundwater,,397008N1221208W002,39.700787,-122.120764,NAD83,Unknown,Glenn
21N02W05M003M,GLE_05M003M screen interval 44 to 54 bgs,Screen: 44-54 ft,Groundwater,,397008N1221208W003,39.700787,-122.120764,NAD83,Unknown,Glenn
21N02W05M004M,GLE_05M004M screen interval 36 to 56 bgs,Screen: 36-56 ft,Groundwater,,397003N1221207W001,39.700787,-122.120764,NAD83,Unknown,Glenn
21N02W05M005M,GLE_05M005M screen interval 30 to 35 bgs,Screen: 30-35 ft,Groundwater,,397008N1221208W004,39.700787,-122.120764,NAD83,Unknown,Glenn
20N03W07E001M,GLE_07E001M screen interval 984 to 1014 bgs,Screen: 984-1014 ft,Groundwater,,396049N1222495W001,39.604892,-122.249484,NAD83,Unknown,Glenn
20N03W07E002M,GLE_07E002M screen interval 616 to 636 bgs,Screen: 616-636 ft,Groundwater,,396049N1222495W002,39.604892,-122.249484,NAD83,Unknown,Glenn
20N03W07E003M,GLE_07E003M screen interval 380 to 485 bgs,Screen: 380-485 ft,Groundwater,,396049N1222495W003,39.604892,-122.249484,NAD83,Unknown,Glenn
20N03W07E004M,GLE_07E004M screen interval 118 to 128 bgs,Screen: 118-128 ft,Groundwater,,396049N1222495W004,39.604892,-122.249484,NAD83,Unknown,Glenn
19N02W08Q001M,GLE_08Q001M screen interval 856 to 876 bgs,Screen: 856-876 ft,Groundwater,,395157N1221122W001,39.5157,-122.112233,NAD83,Unknown,Glenn
19N02W08Q002M,GLE_08Q002M screen interval 208 to 218 bgs,Screen: 208-218 ft,Groundwater,,395157N1221122W002,39.5157,-122.112233,NAD83,Unknown,Glenn
19N02W08Q003M,GLE_08Q003M screen interval 77 to 87 bgs,Screen: 77-87 ft,Groundwater,,395157N1221122W003,39.5157,-122.112233,NAD83,Unknown,Glenn
20N02W11A001M,GLE_11A001M screen interval 70 to 90 bgs,Screen: 70-90 ft,Groundwater,,396087N1220456W001,39.608717,-122.045553,NAD83,Unknown,Glenn
20N02W11A002M,GLE_11A002M screen interval 140 to 160 bgs,Screen: 140-160 ft,Groundwater,,396087N1220456W002,39.608717,-122.045553,NAD83,Unknown,Glenn
20N02W11A003M,GLE_11A003M screen interval 490 to 510 bgs,Screen: 490-510 ft,Groundwater,,396087N1220456W003,39.608717,-122.045553,NAD83,Unknown,Glenn
21N04W12A001M,GLE_12A001M screen interval 595 to 605 bgs,Screen: 595-605 ft,Groundwater,,396972N1222533W001,39.697104,-122.253457,NAD83,Unknown,Glenn
21N04W12A002M,GLE_12A002M screen interval 247 to 257 bgs,Screen: 247-257 ft,Groundwater,,396971N1222533W001,39.697104,-122.253457,NAD83,Unknown,Glenn
21N04W12A004M,GLE_12A004M screen interval 520 to 640 bgs,Screen: 520-640 ft,Groundwater,,396971N1222535W002,39.697092,-122.253305,NAD83,Unknown,Glenn
19N04W14M002M,GLE_14M002M screen interval 45 to 55 bgs,Screen: 45-55 ft,Groundwater,,395023N1222837W001,39.502267,-122.283723,NAD83,Unknown,Glenn
22N02W15C002M,GLE_15C002M screen interval 759 to 780 bgs,Screen: 759-780 ft,Groundwater,,397634N1220771W001,39.763431,-122.077156,NAD83,Unknown,Glenn
22N02W15C003M,GLE_15C003M screen interval 370 to 380 bgs,Screen: 370-380 ft,Groundwater,,397634N1220771W002,39.763459,-122.077139,NAD83,Unknown,Glenn
22N02W15C004M,GLE_15C004M screen interval 210 to 220 bgs,Screen: 210-220 ft,Groundwater,,397634N1220771W003,39.763459,-122.077139,NAD83,Unknown,Glenn
22N02W15C005M,GLE_15C005M screen interval 60 to 70 bgs,Screen: 60-70 ft,Groundwater,,397634N1220771W004,39.763459,-122.077139,NAD83,Unknown,Glenn
22N02W18C001M,GLE_18C001M screen interval 989 to 1029 bgs,Screen: 989-1029 ft,Groundwater,,397682N1221364W001,39.76820217,-122.1364444,NAD83,Unknown,Glenn
22N02W18C002M,GLE_18C002M screen interval 414 to 434 bgs,Screen: 414-434 ft,Groundwater,,397682N1221364W002,39.76820217,-122.1364444,NAD83,Unknown,Glenn
22N02W18C003M,GLE_18C003M screen interval 165 to 175 bgs,Screen: 165-175 ft,Groundwater,,397682N1221364W003,39.76820217,-122.1364444,NAD83,Unknown,Glenn
22N02W18C004M,GLE_18C004M screen interval 55 to 65 bgs,Screen: 55-65 ft,Groundwater,,397682N1221364W004,39.768197,-122.13642,NAD83,Unknown,Glenn
18N02W18D001M,GLE_18D001M screen interval 975 to 985 bgs,Screen: 975-985 ft,Groundwater,,394208N1221341W001,39.420773,-122.134145,NAD83,Unknown,Glenn
18N02W18D002M,GLE_18D002M screen interval 620 to 680 bgs,Screen: 620-680 ft,Groundwater,,394208N1221341W002,39.420773,-122.134145,NAD83,Unknown,Glenn
18N02W18D003M,GLE_18D003M screen interval 510 to 520 bgs,Screen: 510-520 ft,Groundwater,,394208N1221341W003,39.420773,-122.134145,NAD83,Unknown,Glenn
18N02W18D004M,GLE_18D004M screen interval 246 to 256 bgs,Screen: 246-256 ft,Groundwater,,394208N1221341W004,39.420773,-122.134145,NAD83,Unknown,Glenn
20N02W18R005M,GLE_18R005M screen interval 920 to 980 bgs,Screen: 920-980 ft,Groundwater,,395855N1221170W001,39.585509,-122.116998,NAD83,Unknown,Glenn
20N02W18R006M,GLE_18R006M screen interval 635 to 655 bgs,Screen: 635-655 ft,Groundwater,,395855N1221170W002,39.585509,-122.116998,NAD83,Unknown,Glenn
20N02W18R007M,GLE_18R007M screen interval 450 to 526 bgs,Screen: 450-526 ft,Groundwater,,395855N1221170W003,39.585509,-122.116998,NAD83,Unknown,Glenn
20N02W18R008M,GLE_18R008M screen interval 140 to 180 bgs,Screen: 140-180 ft,Groundwater,,395855N1221170W004,39.585509,-122.116998,NAD83,Unknown,Glenn
22N01W19K005M,GLE_19K005M Screen Interval 920 to 1230 bgs,Screen: 920-1230 ft,Groundwater,,397475N1220221W001,39.747504,-122.022112,WGS84,"GPS, 10m",Glenn
19N01W22D004M,GLE_22D004M screen interval 780 to 790 bgs,Screen: 780-790 ft,Groundwater,,394927N1219648W001,39.49270183,-121.9648084,NAD83,Unknown,Glenn
19N01W22D005M,GLE_22D005M screen interval 520 to 530 bgs,Screen: 520-530 ft,Groundwater,,394927N1219648W002,39.49270183,-121.9648084,NAD83,Unknown,Glenn
19N01W22D006M,GLE_22D006M screen interval 340 to 350 bgs,Screen: 340-350 ft,Groundwater,,394927N1219648W003,39.49270183,-121.9648084,NAD83,Unknown,Glenn
19N01W22D007M,GLE_22D007M screen interval 80 to 90 bgs,Screen: 80-90 ft,Groundwater,,394927N1219648W004,39.49270183,-121.9648084,NAD83,Unknown,Glenn
21N03W23C001M,GLE_23C001M screen interval 55 to 75 bgs,Screen: 55-75 ft,Groundwater,,396676N1221697W001,39.66763156,-122.1697472,NAD83,Unknown,Glenn
21N03W23D001M,GLE_23D001M screen interval 363 to 373 bgs,Screen: 363-373 ft,Groundwater,,396672N1221774W001,39.667156,-122.177342,NAD83,Unknown,Glenn
21N03W23D002M,GLE_23D002M screen interval 142 to 170 bgs,Screen: 142-170 ft,Groundwater,,396672N1221774W002,39.667156,-122.177342,NAD83,Unknown,Glenn
21N03W23D003M,GLE_23D003M screen interval 42 to 72 bgs,Screen: 42-72 ft,Groundwater,,396672N1221774W003,39.667156,-122.177342,NAD83,Unknown,Glenn
21N03W23D004M,GLE_23D004M screen interval 48 to 68 bgs,Screen: 48-68 ft,Groundwater,,396675N1221766W001,39.667503,-122.176598,NAD83,Unknown,Glenn
21N03W23D005M,GLE_23D005M screen interval 46 to 66 bgs,Screen: 46-66 ft,Groundwater,,396670N1221769W001,39.66697,-122.176876,NAD83,Unknown,Glenn
22N03W24E001M,GLE_24E001M screen interval 800 to 820 bgs,Screen: 800-820 ft,Groundwater,,397473N1221559W001,39.747339,-122.155887,NAD83,Unknown,Glenn
22N03W24E002M,GLE_24E002M screen interval 128 to 178 bgs,Screen: 128-178 ft,Groundwater,,397473N1221559W002,39.747339,-122.155887,NAD83,Unknown,Glenn
22N03W24E003M,GLE_24E003M screen interval 49 to 59 bgs,Screen: 49-59 ft,Groundwater,,397473N1221559W003,39.747339,-122.155887,NAD83,Unknown,Glenn
20N02W25F001M,GLE_25F001M screen interval 940 to 960 bgs,Screen: 940-960 ft,Groundwater,,395595N1220326W001,39.55949358,-122.0326337,NAD83,Unknown,Glenn
20N02W25F002M,GLE_25F002M screen interval 420 to 470 bgs,Screen: 420-470 ft,Groundwater,,395595N1220326W002,39.559495,-122.032609,NAD83,Unknown,Glenn
20N02W25F003M,GLE_25F003M screen interval 190 to 260 bgs,Screen: 190-260 ft,Groundwater,,395595N1220326W003,39.559495,-122.032609,NAD83,Unknown,Glenn
20N02W25F004M,GLE_25F004M screen interval 55 to 65 bgs,Screen: 55-65 ft,Groundwater,,395595N1220326W004,39.559495,-122.032609,NAD83,Unknown,Glenn
21N02W25L001M,GLE_25L001M screen interval unknown,Screen: Unknown,Groundwater,,396423N1220366W001,39.6423,-122.0366,NAD83,Unknown,Glenn
22N04W27Q001M,GLE_27Q001M screen interval 244 to 350 bgs,LL Well 3,Groundwater,,397268N1222962W001,39.726584,-122.296304,NAD83,"GPS, 10m",Glenn
22N03W28P001M,GLE_28P001M screen interval 390 to 400 bgs,Screen: 390-400 ft,Groundwater,,397279N1222071W001,39.727914,-122.207145,NAD83,Unknown,Glenn
22N03W28P002M,GLE_28P002M screen interval 270 to 290 bgs,Screen: 270-290 ft,Groundwater,,397279N1222071W002,39.727914,-122.207145,NAD83,Unknown,Glenn
22N03W28P003M,GLE_28P003M screen interval 30 to 50 bgs,Screen: 30-50 ft,Groundwater,,397279N1222071W003,39.727914,-122.207145,NAD83,Unknown,Glenn
22N03W28P004M,GLE_28P004M screen interval 32 to 52 bgs,Screen: 32-52 ft,Groundwater,,397275N1222072W001,39.727914,-122.207145,NAD83,Unknown,Glenn
22N02W30H002M,GLE_30H002M screen interval 850 to 880 bgs,Screen: 850-880 ft,Groundwater,,397325N1221233W001,39.73245,-122.123331,NAD83,Unknown,Glenn
22N02W30H003M,GLE_30H003M screen interval 130 to 260 bgs,Screen: 130-260 ft,Groundwater,,397325N1221233W002,39.73245,-122.123331,NAD83,Unknown,Glenn
22N02W30H004M,GLE_30H004M screen interval 45 to 70 bgs,Screen: 45-70 ft,Groundwater,,397325N1221233W003,39.73245,-122.123331,NAD83,Unknown,Glenn
22N02W30R001M,GLE_30R001M Screen Interval 710 to 916 bgs,Screen: 710-916 ft,Groundwater,,397253N1221281W001,39.725267,-122.128059,WGS84,"GPS, 10m",Glenn
21N01W31H001M,GLE_31H001M Screen Interval 800 to 1240 bgs,Screen: 800-1240 ft,Groundwater,,396823N1220117W001,39.682255,-122.011685,WGS84,"GPS, 10m",Glenn
19N01W32E003M,GLE_32E003M screen interval 45 to 310 bgs,Screen: 45-310 ft,Groundwater,,394574N1220005W001,39.457237,-122.001585,NAD83,Unknown,Glenn
20N02W33B001M,GLE_33B001M screen interval 100 to 320 bgs,Screen: 100-320 ft,Groundwater,,395496N1220839W001,39.549598,-122.08387,NAD83,Unknown,Glenn
19N02W33K001M,GLE_33K001M screen interval 160 to 260 bgs,Screen: 160-260 ft,Groundwater,,394559N1220854W001,39.455965,-122.085433,NAD83,Unknown,Glenn
21N02W33M001M,GLE_33M001M screen interval 869 to 890 bgs,Screen: 869-890 ft,Groundwater,,396299N1221007W001,39.629906,-122.100662,NAD83,Unknown,Glenn
21N02W33M002M,GLE_33M002M screen interval 540 to 550 bgs,Screen: 540-550 ft,Groundwater,,396299N1221007W002,39.629906,-122.100662,NAD83,Unknown,Glenn
21N02W33M003M,GLE_33M003M screen interval 140 to 150 bgs,Screen: 140-150 ft,Groundwater,,396299N1221007W003,39.629906,-122.100662,NAD83,Unknown,Glenn
21N03W34Q002M,GLE_34Q002M screen interval 929 to 959 bgs,Screen: 929-959 ft,Groundwater,,396244N1221872W001,39.624339,-122.187178,NAD83,Unknown,Glenn
21N03W34Q003M,GLE_34Q003M screen interval 620 to 690 bgs,Screen: 620-690 ft,Groundwater,,396244N1221872W002,39.624339,-122.187178,NAD83,Unknown,Glenn
21N03W34Q004M,GLE_34Q004M screen interval 58 to 68 bgs,Screen: 58-68 ft,Groundwater,,396244N1221872W003,39.624339,-122.187178,NAD83,Unknown,Glenn
21N02W36A001M,GLE_36A001M screen interval 190 to 600 bgs,Screen: 190-600 ft,Groundwater,,396352N1220330W001,39.635511,-122.033062,NAD83,Unknown,Glenn
21N02W36A002M,GLE_36A002M screen interval 120 to 140 bgs,Screen: 120-140 ft,Groundwater,,396355N1220331W001,39.635511,-122.033062,NAD83,Unknown,Glenn
09N07E02G001M,Glenn Drive Well Screen 70-100 ft bgs,Glenn Drive Well,Groundwater,,386650N1211776W001,38.665,-121.1776,NAD83,"Survey, 1m",Sacramento
22N01W29N001M,Glenn_29N001M screen interval 859-1135 ft bgs.,Screen: 859-1135 ft,Groundwater,,397263N1220105W001,39.72627,-122.010524,NAD83,"GPS, 10m",Glenn
22N01W29N002M,Glenn_29N002M Screened Interval 549-641 ft bgs,Screen: 549-641 ft,Groundwater,,397263N1220105W002,39.72627,-122.010524,NAD83,"GPS, 10m",Glenn
22N01W29N004M,Glenn_29N004M Screened Interval 99-109 ft bgs,Screen: 99-109 ft,Groundwater,,397263N1220105W004,39.72627,-122.010524,NAD83,"GPS, 10m",Glenn
22N01W29N003M,Glenn_29Q003M Screened Interval 189-380 ft bgs,Screen: 189-380 ft,Groundwater,,397263N1220105W003,39.72627,-122.010524,NAD83,"GPS, 10m",Glenn
21N04W12A003M,Gln_12A003M screen interval 955-1050 ft bgs,Screen: 955-1050 ft,Groundwater,,396971N1222535W001,39.697092,-122.253305,NAD83,"GPS, 10m",Glenn
E33510,Goodyear Slough at Lake Herman Road,Goodyear Sl @ Lake H,Surface Water,,,38.07972222,-122.1044444,NAD27,Unknown,Unknown
B9532000,Grant Line Canal - East - WQ,GLC East (GLE),Water Quality,,,37.8202449,-121.4348479,NAD83,"GPS, 10m",San Joaquin
B95310,Grant Line Canal above Barrier,GLC abv Barrier,Surface Water,,,37.82,-121.44722,NAD83,"Survey, 1m",San Joaquin
B9531000,Grant Line Canal above Barrier - WQ,GLC abv Barrier,Water Quality,,,37.820194,-121.445028,NAD83,Unknown,San Joaquin
B9530000,Grant Line Canal at Tracy Blvd Bridge - WQ,GLC at Tracy Blvd,Water Quality,,,37.8201059,-121.4498199,NAD83,"GPS, 10m",San Joaquin
01S04E28F003M,Grant Line Canal Barrier well 1 screen 15-25 ft bgs,GLNO-1,Groundwater,,378186N1215438W001,37.81855556,-121.5438056,NAD83,"Survey, 1m",San Joaquin
01S04E28F002M,Grant Line Canal Barrier well 1W screen 74-89 ft bgs,GLWL-1W,Groundwater,,378204N1215444W001,37.82041667,-121.5444444,NAD83,"Survey, 1m",San Joaquin
01S04E28F004M,Grant Line Canal Barrier well 2 screen 15-25 ft bgs,GLNO-2,Groundwater,,378203N1215436W001,37.82033333,-121.5436111,NAD83,"Survey, 1m",San Joaquin
01S04E28F001M,Grant Line Canal Barrier well 2W screen 10-25 ft bgs,GLWL-2W,Groundwater,,378186N1215443W001,37.81855556,-121.5443333,NAD83,"Survey, 1m",San Joaquin
B95320,Grant Line Canal East,Grant Line East,Tide Station,GLE,,37.820258,-121.4348562,NAD83,"GPS, 10m",San Joaquin
B9529700,Grant Line Canal Mid West,GCMW,Water Quality,,GCMW,37.820248,-121.5210173,WGS84,Unknown,San Joaquin
B95295,Grant Line Canal near Clifton Court Forebay,GLC nr Clifton Court,Surface Water,,,37.82022222,-121.5200833,NAD83,Unknown,San Joaquin
B9529500,Grant Line Canal near Clifton Court Forebay - WQ,Grant Line Canal,Water Quality,,,37.8201229,-121.544661,NAD83,"GPS, 10m",San Joaquin
B95300,Grantline Canal at Tracy Road Bridge,Grantline Can @ Trac,Tide Station,GCT,,37.82004167,-121.4498139,NAD83,Unknown,San Joaquin
F41580,Grass Valley Creek near Lewiston,Grass V Cr nr Lewist,Surface Water,,,40.686553,-122.861319,NAD83,Unknown,Trinity
A4317000,Gurnsey Creek Upstream Confluence,Gurnsey C US Conflun,Water Quality,,,40.27001,-121.43252,WGS84,Unknown,Tehama
A5367001,Hamilton Branch At Lake Almanor,Hamilton B A Lk ALm,Water Quality,,,40.2713,-121.0885,,Unknown,Plumas
A5368000,Hamilton Branch downstream from Mountain Meadows Dam,HB-01C,Water Quality,,,40.2837,-121.025,,Unknown,Lassen
KA000331,Harvey O. Banks Pumping Plant,Banks,Water Quality,,,37.801944,-121.62028,NAD83,Unknown,Alameda
A16450,Hat Creek near Hat Creek,Hat Cr nr Hat Cr,Surface Water,HCN,,40.689108,-121.422782,NAD83,Unknown,Shasta
A85610,High Valley Creek above Kelsey Creek,High V Cr abv Kelsey,Surface Water,,,38.868222,-122.795,NAD83,Unknown,Lake
E32750,Hill Slough At Grizzly Island Road,Hill Sl @ Grizzly Is,Surface Water,,,0,0,,Unknown,Unknown
B9524900,Holland Cut at Holland Marina,Holland Cut @ Hollan,Water Quality,,,37.9736889,-121.5812649,NAD83,"GPS, 10m",Contra Costa
B9512000,Holland Cut near Bethel Island,HOL,Water Quality,,,38.0158159,-121.5821109,NAD83,"GPS, 10m",Contra Costa
17N03E26A003M,Honcut Creek Well 1 screen 524-554 ft bgs,HC-1,Groundwater,,393042N1215970W001,39.304207,-121.596904,NAD83,"GPS, 10m",Yuba
17N03E26A004M,Honcut Creek Well 2A shallow screen 48-68 ft bgs,HC-2A,Groundwater,,393054N1215973W001,39.304387,-121.5969,NAD83,"GPS, 10m",Yuba
17N03E26A005M,Honcut Creek Well 2B middle screen 172-202 ft bgs,HC-2B,Groundwater,,393054N1215973W002,39.304387,-121.5969,NAD83,"GPS, 10m",Yuba
17N03E26A006M,"Honcut Creek Well 2C deep screen 416-436,466-486 ft bgs",HC-2C,Groundwater,,393054N1215973W003,39.304387,-121.5969,NAD83,"GPS, 10m",Yuba
C03925,Hubbs-Miner Ditch at Porterville,Hubbs-Miner Di @ Por,Surface Water,,,36.059952,-119.032602,NAD83,1/250000,Tulare
A54310,Indian Creek below Indian Falls,Indian Cr Bl IndianF,Surface Water,ICR,,40.055434,-120.961239,NAD83,Unknown,Plumas
A5447030,Indian Creek Station 1,Indian Creek 1,Water Quality,,,40.16939,-120.61494,WGS84,Unknown,Plumas
A5446550,Indian Creek Station 2,Indian Creek 2,Water Quality,,,40.12728,-120.62654,WGS84,Unknown,Plumas
A5446250,Indian Creek Station 3,Indian Creek 3,Water Quality,,,40.09513,-120.64407,WGS84,Unknown,Plumas
A5430010,Indian Creek upstream from Arlington Bridge,Indian C US Arlingtn,Water Quality,,,40.0843,-120.917,NAD83,Unknown,Plumas
B95283,Italian Slough Headwater near Byron,Italian Sl Headwater,Tide Station,ISH,,37.84027778,-121.6030556,NAD83,Unknown,Contra Costa
C00200,James Bypass near San Joaquin,James Bypass nr San,Surface Water,,,36.652449,-120.181269,NAD83,1/250000,Fresno
B9C74781351,Jones Pumping Plant Intake,Jones,Water Quality,,,37.796881,-121.58526,NAD83,Unknown,Alameda
B95480,Jones Tract,,Surface Water,JTR,,37.92247222,-121.5183056,NAD83,Unknown,San Joaquin
A85701,Kelsey Creek at Glenbrook,Kelsey Cr @ Glenbroo,Surface Water,,,38.851861,-122.7575,NAD83,Unknown,Lake
A85005,Kelsey Creek near Kelseyville,Kelsey Cr nr Kelsey,Surface Water,KCK,,39.0084,-122.83922,NAD83,Unknown,Lake
C05180,Kern River at Second Point,Kern @ Second Point,Surface Water,,,35.305518,-119.257887,NAD83,1/250000,Kern
C05150,Kern River near Bakersfield,Kern nr Bakersfield,Surface Water,,,35.426068,-118.912874,NAD83,1/250000,Kern
C01120,Kings River below Empire Weir 2 near Stratford,Kings blw Empire Wei,Surface Water,,,36.174951,-119.830966,NAD83,1/250000,Kings
F3109500,Klamath River at Klamath Glen,KR A K GLEN,Water Quality,,,41.51594,-124.0004,NAD83,Unknown,Del Norte
F3122001,Klamath River at Orleans,KR A ORL,Water Quality,,,41.30365,-123.53351,NAD83,Unknown,Trinity
F3159901,Klamath River below Iron Gate Dam,KLAMATH R BL IRON G,Water Quality,,,41.91685,-122.4601,NAD83,Unknown,Siskiyou
14N07W19M002M,LAK_19M002M screen interval unknown,Screen: unknown,Groundwater,,390480N1226855W001,39.048,-122.6855,NAD83,"GPS, 10m",Lake
A5L0107105125,Lake Almanor near Intake Tower (25M),Lk Almanor IT (25M),Water Quality,,,40.1785,-121.0865,,Unknown,Plumas
A5L01071010,Lake Almanor near Intake Tower 10M,Lk Almanor IT 10M,Water Quality,,,40.1785,-121.0865,,Unknown,Plumas
A5L01071015,Lake Almanor near Intake Tower 15M,Lk Almanor IT 15M,Water Quality,,,40.1785,-121.0865,,Unknown,Plumas
A5L01071051,Lake Almanor near Intake Tower 1M,Lk ALMANOR IT 1M,Water Quality,,,40.1785,-121.0865,,Unknown,Plumas
24N17E13J001M,LAS_13J001M screen interval 138 to 148 bgs,LAS_13J001M,Groundwater,,399286N1200197W001,39.9286,-120.0197,WGS84,"Survey, 1m",Lassen
24N17E13J002M,LAS_13J002M screen interval 138 to 148 bgs,LAS_13J002M,Groundwater,,399286N1200197W002,39.9286,-120.0197,WGS84,"Survey, 1m",Lassen
27N14E26E003M,LAS_26E003M screen interval 205 to 218 ft bgs,Screen: 205-218 ft,Groundwater,,401708N1203760W001,40.170859,-120.37601,NAD83,"GPS, 10m",Lassen
27N14E26E004M,LAS_26E004M screen interval 110 to 130 ft bgs,Screen: 110-130 ft,Groundwater,,401439N1202224W001,40.170859,-120.37601,NAD83,"GPS, 10m",Lassen
A13060,Lassen Creek near Willow Ranch,Lassen Cr nr Willow,Surface Water,,,41.883918,-120.341989,NAD83,Unknown,Modoc
13N01W13P001M,LCB Well 1 deep screen 865-875 ft bgs,LCB-1 Deep,Groundwater,,389694N1219259W001,38.969348,-121.925801,NAD83,"GPS, 10m",Colusa
13N01W13P002M,"LCB Well 1 mid scrn 410-420,460-470 ft bgs",LCB-1 Middle,Groundwater,,389694N1219259W002,38.969348,-121.925801,NAD83,"GPS, 10m",Colusa
13N01W13P003M,LCB Well 1 shallow screen 271-281 ft bgs,LCB-1 Shallow,Groundwater,,389694N1219259W003,38.969348,-121.925801,NAD83,"GPS, 10m",Colusa
11N01E02D001M,"LCB Well 13 deep scrn 600-610,670-680 ft bgs",LCB-13 Deep,Groundwater,,388362N1218352W001,38.8362,-121.8352,NAD83,"GPS, 10m",Yolo
11N01E02D002M,"LCB Well 13 middle screen 400-410,480-490 ft bgs",LCB-13 Middle,Groundwater,,388362N1218352W002,38.8362,-121.8352,NAD83,"GPS, 10m",Yolo
11N01E02D003M,LCB Well 13 shallow scrn 170-180 ft bgs,LCB-13 Shallow,Groundwater,,388362N1218352W003,38.8362,-121.8352,NAD83,"GPS, 10m",Yolo
13N01E21B002M,LCB Well 2 Middle screen 313-333 ft bgs,LCB-2 Middle,Groundwater,,389689N1218653W002,38.968914,-121.86529,NAD83,"GPS, 10m",Colusa
13N01E22A001M,LCB Well 3 deep screen 670-680 ft bgs,LCB-3 Deep,Groundwater,,389669N1218440W001,38.96688,-121.843915,NAD83,"GPS, 10m",Colusa
13N01E22A002M,"LCB Well 3 shall scrn 410-420,480-490 ft bgs",LCB-3 Shallow,Groundwater,,389669N1218440W002,38.96688,-121.843915,NAD83,"GPS, 10m",Colusa
12N01E07N001M,LCB Well 7 deep screen 700-710 ft bgs,LCB-7 Deep,Groundwater,,388965N1219139W001,38.8965,-121.9139,NAD83,"GPS, 10m",Yolo
12N01E07N002M,LCB Well 7 middle screen 420-430 ft bgs,LCB-7 Middle,Groundwater,,388965N1219139W002,38.8965,-121.9139,NAD83,"GPS, 10m",Yolo
12N01E07N003M,LCB Well 7 shallow screen 280-290 ft bgs,LCB-7 Shallow,Groundwater,,388965N1219139W003,38.8965,-121.9139,NAD83,"GPS, 10m",Yolo
12N01E14R001M,LCB Well 9 deep screen 525-545 ft bgs,LCB-9 Deep,Groundwater,,388813N1218219W001,38.8813,-121.8219,NAD83,"GPS, 10m",Yolo
12N01E14R003M,LCB Well 9 middle screen 360-370 ft bgs,LCB-9 Middle,Groundwater,,388813N1218219W003,38.8813,-121.8219,NAD83,"GPS, 10m",Yolo
12N01E14R002M,LCB Well 9 shallow screen 230-240 ft bgs,LCB-9 Shallow,Groundwater,,388813N1218219W002,38.8813,-121.8219,NAD83,"GPS, 10m",Yolo
A00615,Lindo Channel near Chico,Lindo Chan nr Chico,Surface Water,LCH,,39.749159,-121.8689,NAD83,Unknown,Butte
B9150500,Lindsey Slough Tidal Wetland,Lindsey Slough,Water Quality,,,38.26079444,-121.7936722,WGS84,Unknown,Solano
B91505Q,Lindsey Slough Tidal Wetland,Lindsey Slough,Tide Station,,,38.26079444,-121.7936722,WGS84,Unknown,Solano
A04270,Little Chico Creek at Taffee Road near Chico,L. Chico Cr @ Taffee,Surface Water,,,39.697041,-121.893445,NAD83,Unknown,Butte
A04910,Little Chico Creek Diversion near Chico,Little Chico Cr Div.,Surface Water,,,39.733494,-121.771658,NAD83,Unknown,Butte
A04280,Little Chico Creek near Chico,Little Chico Cr nr C,Surface Water,,,39.733831,-121.771847,NAD83,Unknown,Butte
18N01E21L001M,Little Dry Creek,Screen: Unknown,Groundwater,,393972N1218649W001,39.39723,-121.864922,NAD83,Unknown,Butte
A04120,Little Dry Creek at Butte Creek,Little Dry Cr @ Butt,Surface Water,,,39.396869,-121.8673,NAD83,Unknown,Butte
